specification,hagibis_mask,target_code,target,dropped_donor_code,dropped_weight,opening_gap_log,opening_pct,late_gap_log,late_pct
primary,event,16,Toyama,22,0.00033514948339947255,0.07931581702183088,8.254615459174675,0.003676152997416932,0.3682918335446095
primary,event,16,Toyama,29,0.05267720907754773,0.09314766500217875,9.76238039232511,0.01087523615548553,1.0934586490716658
primary,event,16,Toyama,31,0.4303151294571558,0.03978700841935723,4.058911386717257,-0.013411918389550692,-1.3322379355839464
primary,event,16,Toyama,39,0.04814183979804827,0.07752735689756207,8.061179424035814,-0.0016612744299095692,-0.1659895277366541
primary_hagibis_recovery,recovery,17,Ishikawa,(none: baseline),,0.09723760855930141,10.212221618372318,0.09829335257611194,10.328638954565195
primary_hagibis_recovery,recovery,17,Ishikawa,05,0.1163607851265292,0.06433742430859546,6.645218494894545,0.10980261813570526,11.605775915569595
primary_hagibis_recovery,recovery,17,Ishikawa,06,0.009825409862907438,0.09856878640704991,10.359031379613516,0.09755496868060087,10.247204133127763
primary_hagibis_recovery,recovery,17,Ishikawa,09,0.010724650208861299,0.09895715302658825,10.401899467294262,0.09947362529154632,10.458933713403162
primary_hagibis_recovery,recovery,17,Ishikawa,10,0.18420249583375753,0.07216658851194868,7.4834384211040605,0.08653074593144387,9.038489210154754
primary_hagibis_recovery,recovery,17,Ishikawa,13,0.08731865207484078,0.09755274493178234,10.246958971310406,0.10788678969947187,11.392163084527684
primary_hagibis_recovery,recovery,17,Ishikawa,19,0.02846204508386674,0.10061315094496415,10.584876245763786,0.10282074138011123,10.829272024473259
primary_hagibis_recovery,recovery,17,Ishikawa,21,0.05725339541701257,0.10556848854273948,11.134221612530325,0.10434737331215956,10.998596745528765
primary_hagibis_recovery,recovery,17,Ishikawa,22,0.08259977563040309,0.0959215308145005,10.067269171562154,0.0931798431056037,9.765912394379805
primary_hagibis_recovery,recovery,17,Ishikawa,29,0.008370971344650263,0.09776993479889828,10.2709060941214,0.1004843222020861,10.570630652816337
primary_hagibis_recovery,recovery,17,Ishikawa,35,0.022146551104792064,0.09726730708767395,10.215494807767268,0.09334741447378166,9.784307559707495
primary_hagibis_recovery,recovery,17,Ishikawa,37,0.07950412585533448,0.0996765234595074,10.481347902510606,0.12011358059361898,12.76249206140223
primary_hagibis_recovery,recovery,17,Ishikawa,41,0.021680337754569762,0.10149646581195704,10.682600665378494,0.10336509448461237,10.889618706230998
primary_hagibis_recovery,recovery,17,Ishikawa,45,0.10927784938479919,0.07192725316629733,7.457716913373513,0.1227835678540588,13.063968769047962
primary_hagibis_recovery,recovery,17,Ishikawa,46,0.18227295531767773,0.07667628488272182,7.969250702867203,0.11300263328990254,11.963488126793154
primary_hagibis_recovery,recovery,16,Toyama,(none: baseline),,0.07860164189496555,8.177330306297193,0.0004434586853305249,0.04435570276697387
primary_hagibis_recovery,recovery,16,Toyama,05,0.34319002532618476,-0.021107403939697456,-2.088620175742162,-0.0251680956695762,-2.4854019565892504
primary_hagibis_recovery,recovery,16,Toyama,09,0.02944243273203182,0.07918173775005144,8.240101732183858,-0.005059232799527146,-0.5046456436546332
