specification,hagibis_mask,placebo_code,pre_rmspe,opening_gap_log,late_gap_log
mask_2018_06_09,event,46,0.039484850166011234,-0.068210450203809,0.02789472055103671
mask_2018_06_09,event,47,0.140632414561094,-0.035506816403191976,0.2510471780915071
japanese_only,event,05,0.11028808229209446,-0.27288486167203096,-0.024000046123969478
japanese_only,event,06,0.08544219891434177,-0.015311873062661796,-0.1131130622580714
japanese_only,event,08,0.05795046463922978,-0.006864617332736245,0.015388229435662242
japanese_only,event,09,0.07180607908074592,0.045515414145071986,-0.044865775319348836
japanese_only,event,10,0.04104693898217675,-0.08008770475107774,-0.043667461929328806
japanese_only,event,11,0.04605007468074006,0.021099108703360514,0.25720698206091536
japanese_only,event,12,0.044251453594542065,0.032399439214872316,0.09216538578935764
japanese_only,event,13,0.7114594251291326,0.6520791116264242,0.5388706231182965
japanese_only,event,14,0.02907948808176435,0.04113722786223928,-0.023512137519819808
japanese_only,event,18,0.09852560458468564,-0.024127096855127483,0.08517327384553575
japanese_only,event,19,0.15922318993716567,0.009298781020696367,0.0376092744538115
japanese_only,event,21,0.04813710368792523,0.025195270450267593,-0.007752115195855309
japanese_only,event,22,0.08000004005186527,-0.0199420675002715,-0.11382894128814916
japanese_only,event,23,0.04091351014394764,0.05074445615989287,0.005607829384025357
japanese_only,event,24,0.06592166252289869,-0.006468836974951486,-0.0826405029399042
japanese_only,event,25,0.05901913443420311,0.12172838851307777,-0.011593348251841416
japanese_only,event,26,0.12258098480152849,-0.1250819866769648,0.022977518279370248
japanese_only,event,27,0.04333584357422138,-0.016369377059519685,0.09637499723631447
japanese_only,event,28,0.03644032459734015,-0.008135410198299553,-0.0712953242341243
japanese_only,event,29,0.24847737369340825,-0.09205615389711674,-0.09486061909633099
japanese_only,event,30,0.07486363079935547,-0.029865900068706708,0.036346145710236526
japanese_only,event,31,0.09016904258295008,-0.172627383256045,-0.08336929211061911
japanese_only,event,32,0.07592764692678264,0.1685047503317918,0.065321394692987
japanese_only,event,35,0.04076536195800127,0.024940646637480413,-0.19425302156262425
japanese_only,event,36,0.18939106483392898,-0.07771341019897093,-0.015374749776665197
japanese_only,event,37,0.05780667829617229,0.10385211250343307,0.03773583286619705
japanese_only,event,39,0.08474763961248459,-0.13076228061011008,-0.07965510764320666
japanese_only,event,40,0.03403564976203703,-0.03504797389138936,-0.01561897606681538
japanese_only,event,41,0.10465386631791969,0.08002509397204527,-0.1590179898405189
japanese_only,event,42,0.066220565303589,0.1418075757834023,-0.04648549487752958
japanese_only,event,44,0.052541550166537394,0.152006178966678,0.0664198628646592
japanese_only,event,45,0.11281751961032699,-0.1508442312042666,0.10665398402766905
japanese_only,event,46,0.0412187138854269,-0.045304841137699725,0.055555799433620615
japanese_only,event,47,0.13828622930967274,-0.024170727879750054,0.18322852652674787
foreign_only,event,05,0.32531397768258485,-0.20677168245447675,0.04827935270767941
foreign_only,event,06,0.4160808443952787,-0.23722270573729176,0.27934798330491595
foreign_only,event,08,0.18703203782487943,0.5090824630717936,-0.16017364450058497
foreign_only,event,09,0.1960453115878029,-0.1596777125393265,-0.36910136962233153
foreign_only,event,10,0.2103969653839026,-0.026470966796682482,-0.01465185916574695
foreign_only,event,11,0.1803491978250509,-0.34436419390113127,-0.17136232950542593
foreign_only,event,12,0.09402610068813083,-0.033890829535399014,-0.20319320511437922
foreign_only,event,13,0.8640943987686742,0.7436242995877516,0.45464615519068885
foreign_only,event,14,0.07935539891543421,0.030856267907659607,0.005457553480670433
foreign_only,event,18,0.2767866574984745,-0.046034621699392986,-0.2869176625271509
foreign_only,event,19,0.2543784404827848,0.1230413822226577,-0.14788423168221274
foreign_only,event,21,0.2424939080525352,0.14129091919525116,0.09079727714047792
foreign_only,event,22,0.12605711042929044,0.41362585909416705,0.25703283864976284
foreign_only,event,23,0.06011566146316835,0.05133099044494571,-0.05107290595682418
foreign_only,event,24,0.19502096764550023,0.2003179550803198,-0.1384920078771411
foreign_only,event,25,0.2132739309339802,0.5621325400499106,-0.3927538232939336
foreign_only,event,26,0.2127382229271123,-0.03933671138146089,0.2219790432885939
foreign_only,event,27,0.08112552900042115,0.059610470879364996,0.18611157806546058
foreign_only,event,28,0.08541850663171446,0.04247670646362334,-0.3927922607032903
foreign_only,event,29,0.238803437637281,0.11333798980812393,0.15243908309446744
foreign_only,event,30,0.16916799013568873,0.06403151678631502,-0.2518108104000558
foreign_only,event,31,0.1644375751903978,0.11070912318803572,-0.06691507531136864
foreign_only,event,32,0.5488161623867535,-0.34099873255685464,-0.027036609722431878
foreign_only,event,35,0.18247689693039312,0.23128023913009166,-0.444345428439621
foreign_only,event,36,0.49886459726307003,-0.22121002269317547,0.1327139579131811
foreign_only,event,37,0.34372541337142865,0.02361675640733729,0.7831928987798185
foreign_only,event,39,0.5194850310468412,-0.03143904568066169,-0.21205969744698225
foreign_only,event,40,0.11176992260915311,0.020520673104322817,0.13785471156275078
foreign_only,event,41,0.24476601663678818,0.15275031430415975,0.4643642566808584
foreign_only,event,42,0.1271009791786433,0.01283563571873092,-0.31228067828514283
foreign_only,event,44,0.18839339566654129,0.1013141576577814,0.11143228542390536
foreign_only,event,45,0.3452165466512685,-0.36744893728746764,-0.4126101555102757
foreign_only,event,46,0.14472369700350235,-0.035912003497180045,0.14703804095242884
foreign_only,event,47,0.24268734130247913,-0.07441628066162931,0.22969131393813222
primary_hagibis_recovery,recovery,05,0.11255091497731647,-0.29088880073171275,-0.0561616751998332
primary_hagibis_recovery,recovery,06,0.08942036129297161,-0.05349624401484743,-0.16577042812867293
primary_hagibis_recovery,recovery,08,0.056395357479537216,-0.0004915981934150437,0.01442619449003544
primary_hagibis_recovery,recovery,09,0.07567404434918246,0.005362398781072919,-0.13038071869891069
primary_hagibis_recovery,recovery,10,0.041895929399875624,-0.10408281331096436,-0.06761844523446198
primary_hagibis_recovery,recovery,11,0.04458682696551555,-0.000229452792224194,0.1916593387141883
primary_hagibis_recovery,recovery,12,0.04568096644773207,0.041218016458895335,0.09919727757008301
primary_hagibis_recovery,recovery,13,0.7348387296583477,0.6784382635691966,0.503039644422134
primary_hagibis_recovery,recovery,14,0.03609060791770332,0.0076380265258988445,-0.07640978283056553
primary_hagibis_recovery,recovery,18,0.09988154159483897,-0.04431708817732094,0.033930279797231275
primary_hagibis_recovery,recovery,19,0.15431999152639864,0.023772815700004557,0.15214047580226872
