target_code,target,ym,actual_log,synthetic_log,gap_log
17,Ishikawa,201412,13.27999940491616,13.267367879933515,0.012631524982644748
17,Ishikawa,201501,13.152776183812524,13.21441620734169,-0.061640023529166754
17,Ishikawa,201502,13.235977736188493,13.251286601430662,-0.015308865242168679
17,Ishikawa,201503,13.476408867356957,13.413742793302891,0.0626660740540661
17,Ishikawa,201504,13.385911556153268,13.25410241308873,0.13180914306453673
17,Ishikawa,201505,13.517010178076614,13.458218466028871,0.058791712047742806
17,Ishikawa,201506,13.43247697152059,13.248626537520197,0.18385043400039258
17,Ishikawa,201507,13.543071714925187,13.440930769556765,0.10214094536842211
17,Ishikawa,201508,13.798272838477939,13.732903604784536,0.06536923369340286
17,Ishikawa,201509,13.60014914709212,13.456490663400402,0.14365848369171808
17,Ishikawa,201510,13.63318500116232,13.495897328673268,0.13728767248905172
17,Ishikawa,201511,13.591541666150276,13.416082467444898,0.17545919870537752
17,Ishikawa,201512,13.435245250877852,13.309732246617827,0.12551300426002499
17,Ishikawa,201601,13.291701006639988,13.187261148929897,0.10443985771009068
17,Ishikawa,201602,13.395728448961316,13.237541893938413,0.1581865550229029
17,Ishikawa,201603,13.521716512064742,13.395978725887195,0.12573778617754705
17,Ishikawa,201604,13.444591793608692,13.24262829565859,0.2019634979501017
17,Ishikawa,201605,13.535373285129944,13.339891735041755,0.19548155008818924
17,Ishikawa,201606,13.37248375976272,13.200555921449563,0.17192783831315595
17,Ishikawa,201607,13.46950704267526,13.411876975481881,0.057630067193379375
17,Ishikawa,201608,13.78705964179026,13.682409998963589,0.10464964282667033
17,Ishikawa,201609,13.49343025879004,13.356741389367977,0.1366888694220627
17,Ishikawa,201610,13.590264798558195,13.432470086806287,0.15779471175190807
17,Ishikawa,201611,13.559675928951613,13.35209133085445,0.20758459809716356
17,Ishikawa,201612,13.364603424409527,13.297160589419782,0.06744283498974468
17,Ishikawa,201701,13.302733030473037,13.194958501790074,0.10777452868296322
17,Ishikawa,201702,13.3305638347407,13.23207557550978,0.09848825923091908
17,Ishikawa,201703,13.570491983424102,13.438164158246714,0.13232782517738784
17,Ishikawa,201704,13.478498175490552,13.301348205257227,0.1771499702333248
