specification,hagibis_mask,target_code,donor_code,weight,positive_weight
primary_hagibis_recovery,recovery,17,24,0.0,False
primary_hagibis_recovery,recovery,17,25,0.0,False
primary_hagibis_recovery,recovery,17,26,0.0,False
primary_hagibis_recovery,recovery,17,27,0.0,False
primary_hagibis_recovery,recovery,17,28,0.0,False
primary_hagibis_recovery,recovery,17,29,0.008370971344650263,True
primary_hagibis_recovery,recovery,17,30,0.0,False
primary_hagibis_recovery,recovery,17,31,0.0,False
primary_hagibis_recovery,recovery,17,32,0.0,False
primary_hagibis_recovery,recovery,17,35,0.022146551104792064,True
primary_hagibis_recovery,recovery,17,36,0.0,False
primary_hagibis_recovery,recovery,17,37,0.07950412585533448,True
primary_hagibis_recovery,recovery,17,39,0.0,False
primary_hagibis_recovery,recovery,17,40,0.0,False
primary_hagibis_recovery,recovery,17,41,0.021680337754569762,True
primary_hagibis_recovery,recovery,17,42,0.0,False
primary_hagibis_recovery,recovery,17,44,0.0,False
primary_hagibis_recovery,recovery,17,45,0.10927784938479919,True
primary_hagibis_recovery,recovery,17,46,0.18227295531767773,True
primary_hagibis_recovery,recovery,17,47,0.0,False
primary_hagibis_recovery,recovery,16,05,0.34319002532618476,True
primary_hagibis_recovery,recovery,16,06,0.0,False
primary_hagibis_recovery,recovery,16,08,0.0,False
primary_hagibis_recovery,recovery,16,09,0.02944243273203182,True
primary_hagibis_recovery,recovery,16,10,0.0,False
primary_hagibis_recovery,recovery,16,11,0.0,False
primary_hagibis_recovery,recovery,16,12,0.0,False
primary_hagibis_recovery,recovery,16,13,0.0031010714970491045,True
primary_hagibis_recovery,recovery,16,14,0.0,False
primary_hagibis_recovery,recovery,16,18,0.0,False
primary_hagibis_recovery,recovery,16,19,0.09279714262858305,True
primary_hagibis_recovery,recovery,16,21,0.0,False
primary_hagibis_recovery,recovery,16,22,0.00033514948339947255,True
primary_hagibis_recovery,recovery,16,23,0.0,False
primary_hagibis_recovery,recovery,16,24,0.0,False
primary_hagibis_recovery,recovery,16,25,0.0,False
primary_hagibis_recovery,recovery,16,26,0.0,False
primary_hagibis_recovery,recovery,16,27,0.0,False
primary_hagibis_recovery,recovery,16,28,0.0,False
primary_hagibis_recovery,recovery,16,29,0.05267720907754773,True
primary_hagibis_recovery,recovery,16,30,0.0,False
primary_hagibis_recovery,recovery,16,31,0.4303151294571558,True
primary_hagibis_recovery,recovery,16,32,0.0,False
primary_hagibis_recovery,recovery,16,35,0.0,False
primary_hagibis_recovery,recovery,16,36,0.0,False
primary_hagibis_recovery,recovery,16,37,0.0,False
