ym,year,month,value,unit,series,source_report_year,source_pdf,source_pdf_page,source_printed_page,source_table_ja
201808,2018,8,962494,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201809,2018,9,733436,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201810,2018,10,815739,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201811,2018,11,935144,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201812,2018,12,527924,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201901,2019,1,505274,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201902,2019,2,610185,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201903,2019,3,750833,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201904,2019,4,1370035,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201905,2019,5,954743,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201906,2019,6,605096,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201907,2019,7,563457,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201908,2019,8,1004462,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201909,2019,9,728084,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201910,2019,10,693088,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201911,2019,11,914168,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
201912,2019,12,455860,person_visits,facility_aggregate,2019,kanazawa_tourism_survey_2019.pdf,102,101,主要観光施設（19施設計）の月別利用者数の推移
