unit_role,area_code,pre_rmspe,retained_max_gate,retained_min_gate
placebo,7445,0.075764885999754103,True,True
placebo,7446,0.21515384165046816,True,True
placebo,7447,0.17151909857463851,True,True
placebo,7461,0.12910662473629375,True,True
placebo,7464,0.24079861821110346,True,True
placebo,7466,0.089933783679529353,True,True
placebo,7481,0.16470771231631545,True,True
placebo,7482,0.46177280060242093,True,False
placebo,7483,0.05861618834128187,True,True
placebo,7501,0.26613157506026514,True,False
placebo,7502,0.05975987758294618,True,True
placebo,7503,0.086048094495583913,True,True
placebo,7505,0.056246139014049179,True,True
placebo,7521,0.13530121411135404,True,True
placebo,7522,0.14566959476437755,True,True
placebo,7541,0.22604980096931238,True,True
placebo,7542,0.15000192964800388,True,True
placebo,7543,0.21121665368904119,True,True
placebo,7544,0.21206903829099025,True,True
placebo,7546,0.1418736507725003,True,True
placebo,7547,0.072175580131883257,True,True
placebo,7561,0.14987396514097437,True,True
placebo,7564,0.074439241762396011,True,True
placebo,8201,0.15819699343575899,True,True
placebo,8202,0.086423762756403788,True,True
placebo,8203,0.063099553945971235,True,True
placebo,8204,0.042104508660926777,True,True
placebo,8205,0.10700309451596045,True,True
placebo,8207,0.082942156141320819,True,True
placebo,8208,0.04150501471931195,True,True
placebo,8210,0.032669883318735111,True,True
placebo,8211,0.062767659082819616,True,True
placebo,8212,0.056258729533899744,True,True
placebo,8214,0.10550427857922931,True,True
placebo,8215,0.041198944264451906,True,True
placebo,8216,0.060634095674441009,True,True
placebo,8217,0.0447087555604362,True,True
placebo,8219,0.090735365052312875,True,True
placebo,8220,0.038699046663352055,True,True
placebo,8221,0.40727715305705242,True,False
placebo,8222,0.13925532179745306,True,True
placebo,8223,0.10448699447763034,True,True
placebo,8224,0.089504373884414512,True,True
placebo,8225,0.039357027652423313,True,True
placebo,8226,0.18788145072980553,True,True
placebo,8227,0.048754217092751816,True,True
placebo,8228,0.054443590105039005,True,True
placebo,8229,0.040396917500444267,True,True
placebo,8230,0.065286766766264728,True,True
placebo,8231,0.1614548349496924,True,True
placebo,8232,0.063450138936160028,True,True
placebo,8233,0.046932291752036011,True,True
placebo,8234,0.047542016583067975,True,True
placebo,8235,0.14939086274508195,True,True
placebo,8236,0.12292670678957383,True,True
placebo,8302,0.090876313389155944,True,True
placebo,8309,0.091030134523026621,True,True
placebo,8310,0.063014329551541265,True,True
placebo,8341,0.10854100294607487,True,True
placebo,8364,0.14968378856066961,True,True
placebo,8442,0.080639091906191993,True,True
placebo,8443,0.11410694324035671,True,True
placebo,8447,0.18584059372355097,True,True
placebo,8521,0.18686481301165023,True,True
placebo,8542,0.062724436616853743,True,True
placebo,8546,0.11347135835625405,True,True
placebo,8564,0.56669300688247481,True,False
placebo,9201,0.057728970771120783,True,True
placebo,9202,0.38818072728755137,True,False
placebo,9203,0.029245980864424162,True,True
placebo,9204,0.069300250996490675,True,True
placebo,9205,0.03256482501480807,True,True
placebo,9206,0.073276102674712351,True,True
placebo,9208,0.042601287053755876,True,True
placebo,9209,0.080853628943740152,True,True
placebo,9210,0.043186742957930679,True,True
placebo,9211,0.035544617319065691,True,True
placebo,9213,0.042472418779992575,True,True
placebo,9214,0.034708043506400846,True,True
placebo,9215,0.086556656793359568,True,True
placebo,9216,0.060619351836482122,True,True
placebo,9301,0.12881542068901297,True,True
placebo,9342,0.044783907872538664,True,True
placebo,9343,0.19152384389950006,True,True
placebo,9344,0.057354238399372412,True,True
placebo,9345,0.046294932121563104,True,True
placebo,9361,0.043382327103760061,True,True
placebo,9364,0.15890674624360634,True,True
placebo,9384,0.05630900961664418,True,True
placebo,9386,0.064127217419477606,True,True
placebo,9407,0.10901056657238413,True,True
placebo,9411,0.045536247281459503,True,True
placebo,10201,0.040760164918596221,True,True
placebo,10202,0.047059880939271222,True,True
placebo,10203,0.068867679419073444,True,True
placebo,10204,0.051792818803700243,True,True
placebo,10205,0.050160190043116441,True,True
placebo,10206,0.052617355023143353,True,True
placebo,10207,0.085997929201360582,True,True
placebo,10208,0.036282215051671757,True,True
placebo,10209,0.024467417918582379,True,True
placebo,10210,0.044926029318289575,True,True
placebo,10211,0.059268752535597415,True,True
placebo,10212,0.12251153246508793,True,True
placebo,10344,0.077134140571847962,True,True
placebo,10345,0.034258910270649534,True,True
placebo,10366,0.084552782461511863,True,True
placebo,10367,0.11756713152645584,True,True
placebo,10382,0.062409857710775958,True,True
placebo,10383,0.095001369172165562,True,True
placebo,10384,0.059947998873434369,True,True
placebo,10421,0.18845513095513378,True,True
placebo,10424,0.067163337706548032,True,True
placebo,10425,0.11782123163458233,True,True
placebo,10426,0.042114429042271563,True,True
placebo,10428,0.054296311471256381,True,True
placebo,10429,0.054965659089933963,True,True
placebo,10443,0.14155637507811961,True,True
placebo,10444,0.17325687908927573,True,True
placebo,10448,0.064239827453573498,True,True
placebo,10449,0.13890359352798345,True,True
placebo,10464,0.048869781219510168,True,True
placebo,10521,0.077365270998104779,True,True
placebo,10522,0.250385617852942,True,True
placebo,10523,0.22060231240740513,True,True
placebo,10524,0.2236930738053256,True,True
placebo,10525,0.28208972526984211,True,False
placebo,11101,0.072445307913386325,True,True
placebo,11102,0.052764583462754734,True,True
