unit_role,area_code,donor_code,weight
high_confidence,18404,39301,0.0014709629675018546
high_confidence,18404,39306,0.057756968925655509
high_confidence,18404,40107,0.0017022151394088839
high_confidence,18404,42208,0.019891206652932664
high_confidence,18404,43506,0.0009106674057855911
high_confidence,18404,45430,0.021897312801755973
high_confidence,18404,45431,0.0057081591879279405
high_confidence,18404,45443,0.066712109463553493
high_confidence,18404,46224,0.031606257923294079
high_confidence,18404,46529,0.0021746920812241526
high_confidence,18404,46531,0.024576658426023669
high_confidence,18423,1483,0.030290062918578529
high_confidence,18423,1608,0.001707217790882702
high_confidence,18423,1642,0.041327973337312238
high_confidence,18423,3484,0.021209092010765832
high_confidence,18423,9343,0.035082331503113073
high_confidence,18423,9411,0.20130278848916447
high_confidence,18423,13101,0.005036183292351378
high_confidence,18423,13103,0.0012163976945039792
high_confidence,18423,22344,0.025033374173797463
high_confidence,18423,23211,0.0052423839770681362
high_confidence,18423,23563,0.046498654067377312
high_confidence,18423,25213,0.0030059126221084176
high_confidence,18423,25425,0.076395994780943138
high_confidence,18423,26105,0.14400463287316803
high_confidence,18423,28209,0.22685672131763368
high_confidence,18423,28225,0.026572770008587255
high_confidence,18423,34431,0.0055978054339222158
high_confidence,18423,39203,0.014715017679909655
high_confidence,18423,39302,0.0024497440414329419
high_confidence,18423,39306,0.010902239177888063
high_confidence,18423,45421,0.0055050736976322403
high_confidence,18423,46224,0.066083349157889451
high_confidence,18423,46532,0.0039642799539698747
high_confidence,18481,1461,0.071835679355174667
high_confidence,18481,1483,0.024643146064773244
high_confidence,18481,1608,0.010526518692112382
high_confidence,18481,3303,0.1013737173528652
high_confidence,18481,3484,0.0012519028424431439
high_confidence,18481,6203,0.03339075378131949
high_confidence,18481,12403,0.0019813778365989211
high_confidence,18481,13101,0.0020982315142943344
high_confidence,18481,13103,0.017168530996971174
high_confidence,18481,13364,0.015853376752684011
high_confidence,18481,14341,0.079510888391645468
high_confidence,18481,19202,0.071228259226206445
high_confidence,18481,19209,0.049459360089793167
high_confidence,18481,20324,0.0034087854102546537
high_confidence,18481,20410,0.0016681639124245062
high_confidence,18481,21362,0.017531533794878401
high_confidence,18481,22207,0.00070344764885035545
high_confidence,18481,22215,0.026275789475821185
high_confidence,18481,22344,0.017227297792131838
high_confidence,18481,29361,0.14693167342329738
high_confidence,18481,29446,0.0036152782501158976
high_confidence,18481,31390,0.089083254114935187
high_confidence,18481,35305,0.11874386187030053
high_confidence,18481,39387,0.00090481122109980344
high_confidence,18481,40230,0.049876146179148782
high_confidence,18481,41345,0.0016936155857787266
high_confidence,18481,43423,0.038333408958312505
high_confidence,18481,45421,0.001461649209023579
high_confidence,18481,46529,0.00033549457308927968
high_confidence,18481,47353,0.0018840456836557444
high_confidence,18483,1211,0.067754343562334882
high_confidence,18483,1220,0.034095390540466335
high_confidence,18483,1234,0.00074202140119599303
high_confidence,18483,1343,0.03150032046662099
high_confidence,18483,1391,0.084906083194508597
high_confidence,18483,1545,0.0054068275382691076
high_confidence,18483,1608,0.0033203903514623027
high_confidence,18483,2401,0.0033177107502370628
high_confidence,18483,3501,0.019817777511409649
high_confidence,18483,6364,0.033732364056015499
high_confidence,18483,9343,0.019010201219781805
high_confidence,18483,11208,0.027129936832505783
high_confidence,18483,11341,0.070021512356380086
high_confidence,18483,13101,0.025382872453932
high_confidence,18483,20417,0.033384696635749736
high_confidence,18483,20422,0.0012942520594672745
high_confidence,18483,21207,0.23550895312447268
high_confidence,18483,22344,0.047661252676587509
high_confidence,18483,23441,0.001090929276805359
high_confidence,18483,25212,0.059122956990690062
high_confidence,18483,27205,0.021371810969032092
high_confidence,18483,28107,0.0041586938044423892
high_confidence,18483,28204,0.022551754703585784
high_confidence,18483,28215,0.010478421506773238
high_confidence,18483,31390,0.011087845078398009
high_confidence,18483,32526,0.0030483979668373129
high_confidence,18483,35305,0.076541302547975851
high_confidence,18483,39302,0.00073496391799289106
high_confidence,18483,39305,0.028598287560896128
high_confidence,18483,39387,0.00082521385188678018
high_confidence,18483,43204,0.014773070241958904
high_confidence,18483,45421,0.0012361307061067763
high_confidence,18483,45430,0.00039331414522045564
high_confidence,18501,1233,0.12528736518318156
high_confidence,18501,1461,0.018023004797894603
high_confidence,18501,1481,0.022486703534522146
high_confidence,18501,1483,0.038243963637557929
high_confidence,18501,1642,0.0057317840551028149
high_confidence,18501,3501,0.003706950542609516
high_confidence,18501,13101,0.032932133127703149
high_confidence,18501,13103,0.010640542212681911
high_confidence,18501,14103,0.047830384173298768
high_confidence,18501,20417,0.052928857891512165
high_confidence,18501,22344,0.114053311047939
high_confidence,18501,23101,0.015724016064762585
high_confidence,18501,24214,0.20395695723926816
high_confidence,18501,26103,0.016087055365255204
high_confidence,18501,29451,0.10776515008141195
high_confidence,18501,31390,0.14653295168096944
high_confidence,18501,34431,0.0053367601368543849
high_confidence,18501,39305,0.02247147326104041
high_confidence,18501,39306,0.0076607565766539454
high_confidence,18501,43507,0.0025998793897806906
placebo,1101,1204,0.18068919054814453
placebo,1101,1229,0.00342009056790284
placebo,1101,1234,0.0012343841484680829
placebo,1101,1461,0.041428947169186429
placebo,1101,1464,0.0020948321433942466
placebo,1101,12106,0.069207017640515373
placebo,1101,13101,0.21311821734923378
placebo,1101,13105,0.12052600279684746
placebo,1101,23228,0.0017564941956645136
placebo,1101,27104,0.14660576240925691
placebo,1101,40107,0.012433852186781556
placebo,1101,40132,0.10191887397302705
placebo,1101,40133,0.015740909607549116
placebo,1101,47308,0.089825425264027897
placebo,1102,1101,0.0018900413404244879
placebo,1102,1209,0.038308153621733856
placebo,1102,1229,0.028420192805105549
placebo,1102,1234,0.029898652176744329
placebo,1102,1461,0.079380863309048505
placebo,1102,1691,0.0085445471149385565
placebo,1102,2208,0.3258041540741759
placebo,1102,8564,0.0053858167250002767
placebo,1102,13101,0.0092696385404873738
placebo,1102,13105,0.096095424152378775
placebo,1102,13401,0.017465232479316969
placebo,1102,13421,0.013814593640316685
placebo,1102,14321,0.013212729060500174
placebo,1102,14366,0.0076679570224090898
placebo,1102,19423,0.010670628233541172
placebo,1102,20425,0.011850090927224657
placebo,1102,20429,0.0072583671061110097
placebo,1102,20521,0.0017401014567191785
placebo,1102,21383,0.055266999578522831
placebo,1102,27104,0.074726337044988669
placebo,1102,28204,0.050386657908013464
placebo,1102,29427,0.030647294224946966
placebo,1102,32525,0.02423376388866132
placebo,1102,34431,0.001622499377307986
placebo,1102,35343,0.0016853111283125352
placebo,1102,40218,0.0041837560784650082
placebo,1102,46523,0.004092190914740901
placebo,1102,46529,0.0030155197388832861
placebo,1102,46532,0.033069063550036214
placebo,1102,46533,0.010393422780944269
placebo,1103,1101,0.12515324290108762
placebo,1103,1107,0.44784021403052426
placebo,1103,1202,0.010882206190423113
placebo,1103,1234,0.029009363278938074
placebo,1103,1331,0.013809461724606044
placebo,1103,1391,0.011662394333991731
placebo,1103,1455,0.004861995362660354
placebo,1103,1461,0.015042449427749231
placebo,1103,1464,0.0017502702784898201
placebo,1103,1545,0.014578971187968045
placebo,1103,1578,0.03657065255951477
placebo,1103,1691,0.030818466018650268
placebo,1103,1692,0.02874594168378786
placebo,1103,1694,0.025513490831888839
placebo,1103,3506,0.001603287102385393
placebo,1103,8221,0.017054133072306136
placebo,1103,11109,0.0072294032337792405
placebo,1103,13101,0.039930985875369356
placebo,1103,13401,0.03447146485011645
placebo,1103,21383,0.012559986341562151
placebo,1103,27104,0.0017159734476816519
placebo,1103,34103,0.0083493659955540377
placebo,1103,43216,0.019465521323163995
placebo,1103,47215,0.038783431503509179
placebo,1103,47308,0.022597327444292666
placebo,1104,1331,0.031310118546272449
placebo,1104,1461,0.13192714786601376
placebo,1104,1487,0.080428643415064033
placebo,1104,1585,0.040628794508336709
placebo,1104,2362,0.0094396691443994641
placebo,1104,3506,0.015034136954379463
placebo,1104,4501,0.25895852964069688
placebo,1104,11208,0.0040774123354492091
placebo,1104,13101,0.0028173441872729765
placebo,1104,13105,0.0043599588685555406
placebo,1104,13421,0.047055176184881468
placebo,1104,21421,0.042865674514125672
placebo,1104,23101,0.067066361300077384
placebo,1104,23427,0.056018956258438057
placebo,1104,27121,0.20152311741512274
placebo,1104,34307,0.0064889588609138302
placebo,1105,1642,0.0026456194330876162
placebo,1105,3484,0.06170589028648657
placebo,1105,3501,0.057056745969245051
placebo,1105,5366,0.020837028683203074
