pref_code,pref_name,year,month,total_stays,foreign_stays_10plus,vintage,frame_basis
41,佐賀県,2018,6,199050.0,26690.0,confirmed,employee_count
42,長崎県,2018,6,522810.0,42610.0,confirmed,employee_count
43,熊本県,2018,6,587590.0,65450.0,confirmed,employee_count
44,大分県,2018,6,552520.0,77610.0,confirmed,employee_count
45,宮崎県,2018,6,257690.0,20480.0,confirmed,employee_count
46,鹿児島県,2018,6,638950.0,50640.0,confirmed,employee_count
47,沖縄県,2018,6,2193470.0,491230.0,confirmed,employee_count
01,北海道,2018,7,3626480.0,803700.0,confirmed,employee_count
02,青森県,2018,7,451650.0,25310.0,confirmed,employee_count
03,岩手県,2018,7,518990.0,15010.0,confirmed,employee_count
04,宮城県,2018,7,878830.0,31490.0,confirmed,employee_count
05,秋田県,2018,7,317720.0,8220.0,confirmed,employee_count
06,山形県,2018,7,489530.0,6080.0,confirmed,employee_count
07,福島県,2018,7,931090.0,6500.0,confirmed,employee_count
08,茨城県,2018,7,490390.0,16270.0,confirmed,employee_count
09,栃木県,2018,7,847770.0,25620.0,confirmed,employee_count
10,群馬県,2018,7,716870.0,15420.0,confirmed,employee_count
11,埼玉県,2018,7,384700.0,14950.0,confirmed,employee_count
12,千葉県,2018,7,2313840.0,454950.0,confirmed,employee_count
13,東京都,2018,7,5868390.0,2132710.0,confirmed,employee_count
14,神奈川県,2018,7,1931700.0,244340.0,confirmed,employee_count
15,新潟県,2018,7,863510.0,19730.0,confirmed,employee_count
16,富山県,2018,7,335060.0,16150.0,confirmed,employee_count
17,石川県,2018,7,715140.0,58820.0,confirmed,employee_count
18,福井県,2018,7,354910.0,5080.0,confirmed,employee_count
19,山梨県,2018,7,911360.0,158050.0,confirmed,employee_count
20,長野県,2018,7,1790160.0,74380.0,confirmed,employee_count
21,岐阜県,2018,7,523930.0,81670.0,confirmed,employee_count
22,静岡県,2018,7,1942910.0,175500.0,confirmed,employee_count
23,愛知県,2018,7,1475950.0,247270.0,confirmed,employee_count
24,三重県,2018,7,780100.0,28820.0,confirmed,employee_count
25,滋賀県,2018,7,421070.0,34000.0,confirmed,employee_count
26,京都府,2018,7,1680710.0,542900.0,confirmed,employee_count
27,大阪府,2018,7,3555730.0,1230780.0,confirmed,employee_count
28,兵庫県,2018,7,1073870.0,92990.0,confirmed,employee_count
29,奈良県,2018,7,208680.0,36940.0,confirmed,employee_count
30,和歌山県,2018,7,464690.0,36670.0,confirmed,employee_count
31,鳥取県,2018,7,284140.0,15030.0,confirmed,employee_count
32,島根県,2018,7,219640.0,4980.0,confirmed,employee_count
33,岡山県,2018,7,457120.0,40650.0,confirmed,employee_count
34,広島県,2018,7,790440.0,73790.0,confirmed,employee_count
35,山口県,2018,7,330040.0,6840.0,confirmed,employee_count
36,徳島県,2018,7,176850.0,7910.0,confirmed,employee_count
37,香川県,2018,7,322940.0,36010.0,confirmed,employee_count
38,愛媛県,2018,7,348260.0,17290.0,confirmed,employee_count
39,高知県,2018,7,228710.0,4080.0,confirmed,employee_count
40,福岡県,2018,7,1428530.0,292770.0,confirmed,employee_count
41,佐賀県,2018,7,210640.0,30120.0,confirmed,employee_count
42,長崎県,2018,7,628850.0,55140.0,confirmed,employee_count
43,熊本県,2018,7,663490.0,69650.0,confirmed,employee_count
44,大分県,2018,7,605410.0,72350.0,confirmed,employee_count
45,宮崎県,2018,7,345760.0,21760.0,confirmed,employee_count
46,鹿児島県,2018,7,746340.0,50540.0,confirmed,employee_count
47,沖縄県,2018,7,2489970.0,473200.0,confirmed,employee_count
01,北海道,2018,8,3952410.0,691290.0,confirmed,employee_count
02,青森県,2018,8,575770.0,25060.0,confirmed,employee_count
03,岩手県,2018,8,695680.0,14470.0,confirmed,employee_count
04,宮城県,2018,8,1085290.0,32140.0,confirmed,employee_count
05,秋田県,2018,8,416640.0,8580.0,confirmed,employee_count
06,山形県,2018,8,619050.0,6270.0,confirmed,employee_count
07,福島県,2018,8,1224880.0,8040.0,confirmed,employee_count
08,茨城県,2018,8,681870.0,13630.0,confirmed,employee_count
09,栃木県,2018,8,1148630.0,13820.0,confirmed,employee_count
10,群馬県,2018,8,1068050.0,15820.0,confirmed,employee_count
11,埼玉県,2018,8,489240.0,14420.0,confirmed,employee_count
12,千葉県,2018,8,2784580.0,382270.0,confirmed,employee_count
13,東京都,2018,8,6018460.0,1850820.0,confirmed,employee_count
14,神奈川県,2018,8,2547450.0,204320.0,confirmed,employee_count
15,新潟県,2018,8,1294110.0,16680.0,confirmed,employee_count
16,富山県,2018,8,481940.0,18660.0,confirmed,employee_count
17,石川県,2018,8,1017110.0,55570.0,confirmed,employee_count
18,福井県,2018,8,545320.0,3940.0,confirmed,employee_count
19,山梨県,2018,8,1347620.0,148450.0,confirmed,employee_count
20,長野県,2018,8,2856890.0,53960.0,confirmed,employee_count
21,岐阜県,2018,8,844920.0,88680.0,confirmed,employee_count
22,静岡県,2018,8,2814050.0,151420.0,confirmed,employee_count
23,愛知県,2018,8,1701410.0,221090.0,confirmed,employee_count
24,三重県,2018,8,1149420.0,21090.0,confirmed,employee_count
25,滋賀県,2018,8,664480.0,27850.0,confirmed,employee_count
26,京都府,2018,8,1928680.0,507850.0,confirmed,employee_count
27,大阪府,2018,8,4099470.0,1171510.0,confirmed,employee_count
28,兵庫県,2018,8,1566410.0,92390.0,confirmed,employee_count
29,奈良県,2018,8,291370.0,39300.0,confirmed,employee_count
30,和歌山県,2018,8,719300.0,37460.0,confirmed,employee_count
31,鳥取県,2018,8,476210.0,12410.0,confirmed,employee_count
32,島根県,2018,8,328200.0,4550.0,confirmed,employee_count
33,岡山県,2018,8,584130.0,34910.0,confirmed,employee_count
34,広島県,2018,8,988860.0,76290.0,confirmed,employee_count
35,山口県,2018,8,457660.0,6000.0,confirmed,employee_count
36,徳島県,2018,8,265940.0,7300.0,confirmed,employee_count
37,香川県,2018,8,482680.0,36530.0,confirmed,employee_count
38,愛媛県,2018,8,425780.0,16580.0,confirmed,employee_count
39,高知県,2018,8,383110.0,4080.0,confirmed,employee_count
40,福岡県,2018,8,1598200.0,270690.0,confirmed,employee_count
41,佐賀県,2018,8,264080.0,28400.0,confirmed,employee_count
42,長崎県,2018,8,902700.0,50060.0,confirmed,employee_count
43,熊本県,2018,8,867300.0,74300.0,confirmed,employee_count
44,大分県,2018,8,783220.0,64020.0,confirmed,employee_count
45,宮崎県,2018,8,454870.0,23090.0,confirmed,employee_count
46,鹿児島県,2018,8,922020.0,49850.0,confirmed,employee_count
47,沖縄県,2018,8,2900190.0,491300.0,confirmed,employee_count
01,北海道,2018,9,2547810.0,313520.0,confirmed,employee_count
02,青森県,2018,9,453660.0,18300.0,confirmed,employee_count
03,岩手県,2018,9,518080.0,11360.0,confirmed,employee_count
04,宮城県,2018,9,924930.0,23500.0,confirmed,employee_count
05,秋田県,2018,9,334240.0,5940.0,confirmed,employee_count
06,山形県,2018,9,505000.0,5870.0,confirmed,employee_count
07,福島県,2018,9,926560.0,7490.0,confirmed,employee_count
08,茨城県,2018,9,446150.0,20680.0,confirmed,employee_count
09,栃木県,2018,9,823380.0,14630.0,confirmed,employee_count
10,群馬県,2018,9,696940.0,18530.0,confirmed,employee_count
11,埼玉県,2018,9,411020.0,14340.0,confirmed,employee_count
12,千葉県,2018,9,2173300.0,310510.0,confirmed,employee_count
13,東京都,2018,9,5635660.0,1941790.0,confirmed,employee_count
14,神奈川県,2018,9,1949930.0,194280.0,confirmed,employee_count
15,新潟県,2018,9,785350.0,17470.0,confirmed,employee_count
16,富山県,2018,9,355650.0,17870.0,confirmed,employee_count
17,石川県,2018,9,767960.0,56800.0,confirmed,employee_count
18,福井県,2018,9,370370.0,2920.0,confirmed,employee_count
19,山梨県,2018,9,763650.0,94010.0,confirmed,employee_count
20,長野県,2018,9,1606300.0,61040.0,confirmed,employee_count
21,岐阜県,2018,9,570620.0,81310.0,confirmed,employee_count
22,静岡県,2018,9,1697270.0,105700.0,confirmed,employee_count
23,愛知県,2018,9,1359350.0,182160.0,confirmed,employee_count
24,三重県,2018,9,711030.0,19860.0,confirmed,employee_count
25,滋賀県,2018,9,426370.0,20860.0,confirmed,employee_count
26,京都府,2018,9,1575490.0,358280.0,confirmed,employee_count
27,大阪府,2018,9,3122800.0,762860.0,confirmed,employee_count
28,兵庫県,2018,9,1023350.0,69630.0,confirmed,employee_count
29,奈良県,2018,9,200730.0,25400.0,confirmed,employee_count
30,和歌山県,2018,9,358960.0,19180.0,confirmed,employee_count
31,鳥取県,2018,9,315090.0,10460.0,confirmed,employee_count
32,島根県,2018,9,249990.0,3760.0,confirmed,employee_count
33,岡山県,2018,9,503320.0,33900.0,confirmed,employee_count
34,広島県,2018,9,852300.0,74880.0,confirmed,employee_count
35,山口県,2018,9,368230.0,6950.0,confirmed,employee_count
36,徳島県,2018,9,179450.0,5060.0,confirmed,employee_count
37,香川県,2018,9,334740.0,35800.0,confirmed,employee_count
38,愛媛県,2018,9,331590.0,13310.0,confirmed,employee_count
39,高知県,2018,9,255880.0,3800.0,confirmed,employee_count
40,福岡県,2018,9,1387470.0,247550.0,confirmed,employee_count
41,佐賀県,2018,9,206870.0,27500.0,confirmed,employee_count
42,長崎県,2018,9,609440.0,33820.0,confirmed,employee_count
43,熊本県,2018,9,658880.0,59480.0,confirmed,employee_count
44,大分県,2018,9,621030.0,71540.0,confirmed,employee_count
45,宮崎県,2018,9,340320.0,21190.0,confirmed,employee_count
46,鹿児島県,2018,9,739350.0,47720.0,confirmed,employee_count
47,沖縄県,2018,9,2444030.0,418610.0,confirmed,employee_count
01,北海道,2018,10,2886370.0,466230.0,confirmed,employee_count
02,青森県,2018,10,529340.0,52330.0,confirmed,employee_count
03,岩手県,2018,10,574060.0,38930.0,confirmed,employee_count
04,宮城県,2018,10,928900.0,46350.0,confirmed,employee_count
05,秋田県,2018,10,380970.0,19120.0,confirmed,employee_count
06,山形県,2018,10,511490.0,10690.0,confirmed,employee_count
07,福島県,2018,10,1109820.0,20600.0,confirmed,employee_count
